Segment ID,Source Segment,Segment Origin,Comments,Human Translation,Human Translation rating,Google Translate,Google Translate rating,Kakao i,Kakao i rating
11,"La principal novedad es la irrupción de VOX, que con un 3,17% de los votos, obtendría por primera vez representación en España, con un escaño en el Parlamento andaluz por la provincia de Almería. ",El País,,"새로운 점은 VOX당의 출현으로, 3.17%의 득표율을 얻어 최초로 스페인에서 출마할 자격을 얻을 것이고 알메리아 주 덕에 안달루시아 의회에서 1석을 차지하게 된다. ",1,가장 주목할만한 사실은 투표의 3.17 %로 알 메리아 지방에 대한 안달루시아 의회 (Andalusian Parliament) 의석을 보유한 스페인 최초의 대표권을 얻게 될 복스 (VOX)의 침범이다.,2,주요 참신함은 투표의 3.17 %를 가진 VOX의 침입으로 스페인에서 처음으로 대표 될 것이며 알 메리아 지방에서 안달루시아 의회 의원 1 명을 확보할 것입니다.,2
12,"En los anteriores comicios autonómicos, el partido de extrema derecha quedó en novena posición, por detrás de UPyD, que vuelve a presentarse en estas elecciones en todas las provincias, el ahora disuelto Partido Andalucista y PACMA, que también tiene candidaturas en todas las circunscripciones.",El País,,"과거 자치선거에서 극우파인 이 정당은 불과 9위로, 이번 선거에 각 주에 후보를 배출한 UPyD와 현재는 해체된 안달루시스타당, 현재 모든 선거구에 후보를 보유한 PACMA 보다도 뒤였다.",1,"이전의 지방 선거에서 맨 오른쪽 파티는 UPyD 뒤에서 9 번째 위치에 있었고, 모든 주에서 선거로 돌아 왔고, 지금은 해체 된 Andalusian Party와 PACMA도 모든 선거구에서 후보가되었습니다.",2,"이전의 자치 선거에서 극우파 정당은 UPyD보다 9 위를 차지했으며, 모든 지방에서이 선거에서 다시 서있었습니다. 현재 해산 된 안달루시아 당과 PACMA는 모든 선거구에서 후보를 보유하고 있습니다.",2
13,"La encuesta del CIS no ha despejado las dudas sobre quién ostentará el centro de la derecha en Andalucía, si Ciudadanos o PP. ",El País,,이번 CIS 여론조사는 시우다다노스와 PP 중 어느 당이 안달루시아 좌파의 중심이 될지에 대한 의문점을 해결하지는 못했다.  ,1,CIS 설문 조사는 시민 또는 PP 여부에 관계없이 안달루시아에서 권리의 중심을 누가 잡을 지에 대한 의구심을 해소하지 못했습니다.,2,"CIS 조사는 안달루시아에서 누가 오른쪽 홀을 차지할 것인지, 시민인지 PP인지에 대한 의구심을 없애지 못했습니다.",2
14,"Si bien Ciudadanos no acaba de dar su anhelado sorpasso, los datos del sondeo evidencian un avance muy significativo en relación con los resultados de las autonómicas de 2015, donde obtuvieron nueve escaños. ",El País,,시우다다노스가 '추월'이라는 숙원을 성취하지는 못했지만 9석을 획득한 2015 자치선거 결과에 비하면 이번 여론조사 결과는 그들의 엄청난 진전을 보여준다.  ,1,시민들이 열광한 sorpasso를 제공하는 것만은 아니지만 설문 조사 데이터는 2015 년 자치 결과 9 개를 차지한 결과와 관련하여 매우 중요한 진전을 보였습니다. ,2,"시민들은 단지 갈망하는 스냅 샷을 제공하지는 않았지만, 투표 데이터는 9 석을 얻은 2015년 자치 단체의 결과와 관련하여 매우 중요한 진전을 보여줍니다.",2
15,"El partido de Albert Rivera obtendría representación en todas las provincias, con un avance muy significativo en Cádiz, donde pasaría de 1 a 3 o 4. ",El País,,알버트 리비에라가 이끄는 이 당은 특히 1석이었던 카디스에서 3-4석으로 크게 진전을 보이며 모든 지역구에 출마할 것이다.  ,1,앨버트 리베라 (Albert Rivera)의 당은 카디스에서 매우 중요한 진보와 함께 모든 지역에서 대표권을 얻었으며 카디스는 1에서 3 또는 4로 넘어갔습니다.,2,앨버트 리베라 당은 카디스에서 1에서 3 또는 4로 매우 중요한 돌파구를 마련하여 모든 주에서 대표성을 확보할 것입니다.,2
16,"La lectura para el PP no es tan positiva ya que, de confirmarse la proyección del estudio preelectoral, el 2 de diciembre supondría una bajada de entre 13 y 11 diputados, un desplome del que se benefician Ciudadanos y Vox. ",El País,,그러나 이 지표가 PP에는 그렇게 긍정적이지 않다. 사전 선거 조사 결과를 확인한 뒤 12월 2일에 의원 수가 13명에서 11명으로 준다는 의미이기 때문이다. 이와 같은 하락으로 시우다다노스와 VOX가 이득을 보게 된다. ,1,예비 선거 연구 계획이 확정되면 12 월 2 일에 시민과 복스에게 혜택을주는 붕괴가 13 명에서 11 명으로 감소 할 것이기 때문에 PP에 대한 독서가 그렇게 긍정적이지는 않습니다.,2,PP에 대한 독서는 선거 전 연구의 예측이 확인되면 12월 2 일에 13-11 명의 회원이 감소할 것이기 때문에 긍정적이지 않습니다. 이는 시민과 Vox의 이익을 위한 붕괴입니다.,2
17,Los populares pierden escaños en las ocho circunscripciones.,El País,,공화당은 8개 지역구에서 의석을 잃는다.,1,인기는 8 개 지구의 좌석을 잃어 버린다.,2,인기 있는 사람들은 8개의 선거구에서 의석을 잃는다.,2
18,"La coalición de Adelante Andalucía se coloca como segunda fuerza política en porcentaje de voto, pero, sin llegar repetir la mala experiencia de la confluencia entre Podemos e IU a nivel nacional, en Andalucía ambas formaciones juntas no suman más que por separado y, de acuerdo con el CIS, mantendrían los 20 escaños que ya tienen en la actualidad, por lo que no sacarían rédito por el flanco de la izquierda del desgaste del PSOE.",El País,,"아델란떼 안달루시아 연대는 득표율로 2위를 차지했지만, 그들이 포데모스와 IU의 전국적 연대의 전례를 따르지 않고서는 안달루시아에서 각각 출마한 것만큼의 의석을 확보하지 못할 것이다. 그리고 CIS 조사에 따르면 현재 보유하고 있는 20석을 유지할 것으로 나타나 좌파 PSOE의 세력 저하로 얻는 이득은 없을 것이다.",1,"Adelante Andalucía 연합은 투표의 비율로 두 번째 정치 세력으로 배치되지만 안달루시아에서 Podemos와 IU 간의 합류에 대한 나쁜 경험을 되풀이하지 않고 두 가지 형성은 함께 개별적으로 추가하지 않으며 CIS와 함께, 그들은 이미 가지고있는 20 석을 유지할 것이므로 PSOE 착용의 왼쪽 측면에 대해 돈을받지 않을 것입니다.",3,"포워드 안달루시아 연합은 투표율로 두 번째 정치 세력으로 자리 매김했지만, 국가 차원에서 Podemos와 IU 간의 합류 경험의 나쁜 경험을 반복하지 않고 안달루시아에서 두 구조물은 별도로 합쳐져 CIS에 따르면 현재 20 석을 보유하고 있으므로 PSOE의 왼쪽 측면으로 이익을 얻지 못할 것입니다.",2
19,"Ni la última legislatura ni los casi 40 años de Gobiernos socialistas continuados parecen haber horadado las expectativas electorales del PSOE de cara a la cita electoral del 2 de diciembre, justo lo contrario que le ocurre al PP. ",El País,,"지난 입법회기도, 40년 가까이 계속 집권한 사회주의 정부도 12월 2일에 열릴 선거에서 현 PSOE의 예상 결과에 흠집을 내지 못할 전망이다. PP에는 정반대 되는 일이 일어나고 있지만 말이다.  ",1,마지막 입법부와 거의 40 년 동안 지속 된 사회주의 정부 모두 12 월 2 일 선거를 앞두고 PS에 대한 선거 기대를 뚫지 못했다. ,2,지난 입법부 나 거의 40년 동안 계속된 사회주의 정부는 PSOE의 선거 기대를 12월 2일 선거 약속에 맞춰 정한 것으로 보이지 않는다.,2
20,"Díaz, no obstante, debería obtener el respaldo de Adelante Andalucía o de Ciudadanos para repetir mandato. ",El País,,그러나 디아스 의장은 재임을 위해 아델란테 안달루시아나 시우다다노스의 지지가 필요하다. ,1,그러나 디아즈는 아 델란 테 안달루시아 (Adelante Andalucía) 또는 시우 다다 노 (Ciudadanos)의 지원을 받아 위임을 반복해야한다. ,1,그러나 디아즈는 안달루시아 전방이나 시민으로부터 명령을 반복하는 데 대한 지원을 받아야 합니다.,2
21,"Hasta ahora, los de Rivera se han mantenido firmes en su intención de no volver a apoyar bajo ningún concepto a la dirigente socialista. ",El País,,지금까지 리비에라가 이끄는 이 당은 어떠한 명목으로도 사회당 당수인 그녀를 다시는 지지하지 않겠다는 의사를 철저히 고수하고 있다. ,1,지금까지 리베라는 어떤 식 으로든 사회주의 지도자를지지하지 않을 것이라는 확고한 견해를 유지해 왔습니다.,1,지금까지 리베라의 사람들은 사회주의 지도자를 다시 지원하지 않을 의도로 확고하게 서있었습니다.,2
22,"Desde la coalición de izquierdas también son claros en que no permitirán un Ejecutivo de derechas ante un eventual pacto PP y Ciudadanos, y mantienen el discurso beligerante contra el “régimen del PSOE y el susanismo”. ",El País,,"좌파연대도 PP와 시우다다노스의 임시 협정에 대해 우파 지도부를 허용하지 않겠다는 의사는 명확하고, ""PSOE와 수사나주의 정책""에 호전적인 입장을 유지하고 있다. ",1,"좌파 연립 정부로부터 그들은 최종 PP와 시민 협정 전에 권리 집행을 허용하지 않으며 ""PSOE 정권과 수사 니즘""에 대한 호전적인 담론을 유지할 것임을 분명히했다.",2,"좌파 연합에서 그들은 또한 PP와 시민 협약에 대한 우익 집행을 허용하지 않을 것이며 ""PSOE와 수산주의 체제""에 대한 호전적인 연설을 유지할 것이라는 것이 분명하다.",1
23,"De acabar segundos el 2 de diciembre, serán determinantes para la elección de la presidenta.",El País,,12월 2일에 2위가 되면 의장 선거에서는 결정적일 것이다.,1,12 월 2 일에 두 번째를 마치면 대통령 선거에 결정적인 역할을 할 것입니다.,2,"12월 2일에 두 번째를 끝내면, 그들은 대통령 선거에 결정적일 것이다.",2
24,"[MINI-TITLE] Un 58,4% quiere un cambio de Gobierno",El País,,58.4%가 정권 교체를 원한다.,1,58.4 % 정부 변화를 원한다.,2,58.4%가 정부 변화를 원한다,2
25,"Pese a que el PSOE volvería a ganar las elecciones, la valoración de los votantes respecto de la gestión de los socialistas en esta última legislatura es mayoritariamente regular (39,8%), mala (27,9%) o muy mala (15,2%). ",El País,,PSOE가 또 선거에서 승리할 것이지만 이번 입법회기의 사회당의 지도력에 대한 유권자들의 평가는 대부분 그저 그렇다(39.8%) 혹은 매우 나쁘다(15.2%) 이다. ,1,"PSOE가 다시 선거에서 승리 할지라도,이 마지막 기간에 사회 주의자들의 관리에 관한 유권자 평가는 대부분 규칙적 (39.8 %), 나쁜 (27.9 %) 또는 매우 나쁘다 (15, 2 %).",2,"PSOE가 선거에서 다시 승리 할지라도, 후자의 입법부에서 사회 주의자들의 관리에 대한 유권자의 평가는 대부분 규칙적 (39.8 %), 나쁜 (27.9 %) 또는 매우 나쁜 (15.2 %)입니다.",3
26,"Poco más de la mitad de los andaluces, 58,4%, cree que sería bueno un cambio de Gobierno en la comunidad, después de casi cuatro décadas con el PSOE al mando. ",El País,,안달루시아인 중 절반 이상인 58.4%가 PSOE가 40년간 집권했기 때문에 이제는 이 지역에서 정권 교체가 이루어졌으면 좋겠다고 응답했다. ,2,안달루시아 인 중 절반 이상 (58.4 %)은 PSOE를 담당 한 거의 40 년 후 공동체에서 정부의 변화가 좋을 것이라고 생각한다.,3,안달루시아인의 절반 이상인 58.4 %는 PSOE가 지휘하는 거의 40년 후에 지역 사회에서 정부의 변화가 좋을 것이라고 믿는다.,1
27,Un 26% de los encuestados no tiene decidido aún a quién votará.,El País,,응답자의 26%는 투표 대상이 미정이라고 답했다.,1,응답자의 26 %는 투표 대상자를 아직 결정하지 않았습니다.,1,응답자의 26퍼센트는 아직 누가 투표할지 결정하지 못했다.,3
28,La campaña andaluza arrancará el viernes 16 de noviembre a las 00.00 con la encuesta preelectoral como telón de fondo y se antoja determinante para disipar las dudas que arroja el CIS. ,El País,,"안달루시아 선거운동은 11월 16일 금요일 00시에 정보 수집을 위해 사전 선거 여론조사를 실시할 것이고, CIS가 제기한 의혹을 불식시키려 한다. ",1,안달루시안 캠페인은 11 월 16 일 금요일 00:00에 예비 선거 조사를 배경으로 시작되며 CIS가 제기 한 의구심을 없애는 결정적인 요인으로 보인다. ,2,안달루시아 캠페인은 11월 16일 금요일 00시에 선거 전 설문 조사를 배경으로 시작하여 CIS가 제기한 의심을 없애기 위해 결정적으로 열망합니다.,3
29,"Para los partidos estas elecciones son la antesala de lo que puede suceder en las próximas citas con las urnas (municipales, autonómicas, europeas e incluso generales). ",El País,,"모든 정당들에게 이번 선거는 차기 (시, 자치, 유럽, 대선) 투표의 전조이다. ",1,"당사자들에게이 선거는 여론 조사 (시, 지역, 유럽 및 심지어 일반)에서 예정된 약속에서 일어날 수있는 일의 서곡입니다. ",2,"정당의 경우,이 선거는 투표함 (지방, 자치, 유럽 및 심지어 일반)과의 다음 약속에서 일어날 수있는 일의 대기실입니다.",3
30,"Los líderes nacionales, incluido el de Vox, van a volcarse de lleno para arañar unos resultados que permitan mantener sus expectativas. ",El País,,VOX를 비롯한 모든 정당 지도부에서는 자신들의 기대에 부합하는 결과를 얻기 위해 혼신을 다할 것이다. ,1,Vox를 포함한 전국 지도자들은 자신들이 기대치를 유지할 수 있도록 결과를 뒤집기 위해 전복하려고합니다. ,2,Vox를 포함한 국가 지도자들은 기대를 유지할 수 있는 결과를 얻기 위해 완전히 뒤집힐 것입니다.,3
31,"Para cuatro de cada 10 encuestados, los máximos responsables de los partidos influyen bastante a la hora de votar. ",El País,,여론조사 응답자 10명 중 4명은 당지도부가 투표에 꽤 많은 영향을 미친다고 답했다. ,1,응답자 10 명 중 4 명에 대해서는 당사자 대표가 투표 할 때 큰 영향력을 행사합니다. ,3,응답자 10 명 중 4 명에게 정당에 대한 책임이 있는 최고 경영자는 투표에 상당한 영향을 미칩니다.,2
32,"En estas últimas semanas y pese al interés de Díaz de que solo se hable de los problemas andaluces, todos han querido introducir los asuntos de la actualidad política en clave nacional.",El País,,디아스 당수가 오직 안달루시아 관련 이슈만 언급해야 한다고 했음에도 불구하고 최근 몇 주간 모든 후보자들이 국가적으로 중요한 현재 정치 사안을 다루길 원했다.,1,지난 몇 주간 그리고 디아즈가 안달루시아 문제에 대해서만 이야기하는 것에 관심을 갖고 있음에도 불구하고 모든 사람들은 정치적 시사 문제를 국가 핵심 용어로 소개하기를 원했습니다. ,3,"최근 몇 주 동안, 그리고 안달루시아 문제에 대해서만 이야기하는 디아즈의 관심에도 불구하고, 모든 사람들은 정치적 현안을 국가 핵심에 도입하기를 원했습니다.",2
33,"Sin embargo, para el 56,4% de los electores de la comunidad, lo más importante a la hora de elegir la papeleta serán los temas propios de Andalucía.",El País,,그러나 이 지역 유권자의 56.4%는 후보를 찍을 때 가장 중요한 것은 안달루시아 지역 자체의 이슈일 것이라고 답했다.,1,그러나 지역 사회 유권자의 56.4 %가 안달루시아의 대상이 될 것입니다.,3,그러나 지역 사회 유권자의 56.4 %에게 투표 용지를 선택하는 데 가장 중요한 것은 안달루시아의 주제가 될 것입니다.,2
34,"Respecto de los líderes políticos, la candidata socialista y presidenta de la Junta, Susana Díaz, es la más conocida y la más valorada con una nota de un 4,1. ",El País,,당 지도부에 대해서는 사회당 후보인 수사나 디아스 의장이 4.1점으로 가장 인지도가 높고 유력한 후보로 꼽혔다. ,1,"정치 지도자들에 관해서, 사회주의 후보자이자 이사회 의장 인 Susana Díaz는 4.1 등급으로 가장 잘 알려져 있고 가장 가치가 있습니다. ",2,정치 지도자들과 관련하여 사회주의 후보이자 이사회 의장인 Susana Díaz는 4.1의 메모로 가장 잘 알려져 있으며 가장 가치가 있습니다.,2
35,El resto de los aspirantes a dirigir la comunidad también suspenden. ,El País,,이 지역에 출마한 다른 후보들도 모두 제쳤다.  ,1,공동체를 이끌어 나갈 다른 유망주들도 일시 중지합니다. ,2,지역 사회를 이끌려는 나머지 사람들도 일시 중지됩니다.,2
36,"El líder regional de Ciudadanos, Juan Marín, y el coordinador general de IU en Andalucía y número dos de Adelante Andalucía, Antonio Maíllo, obtienen una calificación de 3,5, seguidos de la cabeza de lista por la confluencia de izquierdas, Teresa Rodríguez, con un 3,4, y el candidato popular, Juan Manuel Moreno, 3,1. ",El País,,"시우다다노스 지역 대표인 후안 마린과 IU의 안달루시아 총 책임이자 아델란떼 안달루시아의 서열 2위인 안토니오 마이요가 3.5점을 얻었고, 좌파 연대의 테레사 로드리게스가 3.4점, 공화당의 후안 마누엘 모레노 후보가 3.1점으로 그 뒤를 이었다. ",1,"후안 마린과 안달루시아 IU 총지배인 인 아델란테 안달루시아 (Andelucía), 안토니오 메이 올로 (Antonio Maíllo)의 지역 지도자는 3.5 점을 얻었고 왼쪽의 합류점 인 테레사 로드리게스 (Teresa Rodríguez) 3.4, 인기 후보 인 후안 마누엘 모레노 (3.1).",2,"안달루시아의 시민 지역 지도자인 후안 마린과 안달루시아의 IU 총 코디네이터인 안토니오 마일로는 3.5 점을 얻었고, 좌파의 합류자인 테레사 로드리게스는 3.4 점을 얻었고, 인기 후보인 후안 마누엘 모레노는 3.1 점을 얻었다.",2
37,"Cuatro años después de su aparición en la política andaluza, Marín continúa siendo el político menos conocido.",El País,,마린 후보는 안달루시아 정치계에 입문한지 4년이 지난 지금도 가장 인지도가 낮은 정치인이다.,1,안달루시안 정치에 출마 한 지 4 년 후 마린은 계속 정치인으로 알려지지 않았다.,2,"안달루시아 정치에 출연한 지 4년 후, 마린은 가장 잘 알려진 정치가로 남아 있습니다.",3
38,El Parlamento andaluz está compuesto actualmente por 109 diputados repartidos entre los cinco grupos parlamentarios que lograron representación en las elecciones de 2015. ,El País,,현재 안달루시아 의회는 109명의 국회의원이 2015년 대선에 출마한 다섯 진영으로 나뉘어 있다. ,1,안달루시안 의회는 현재 2015 년 선거에서 대의원을 얻은 5 명의 의원들로 구성된 109 명의 의원들로 구성됩니다.,1,안달루시아 의회는 현재 2015년 선거에서 대표성을 얻은 5 개 의회 그룹에 109 명의 대리인으로 구성됩니다.,2
39,El PSOE logró 47 diputados;,El País,,PSOE는 47명을 얻었다.,1,PSOE는 47 명의 대리인을 확보했습니다.,1,PSOE는 47 명의 대리인을 확보했습니다.,1
40,le sigue el PP que consiguió 33. ,El País,,그 뒤를 이어 PP는 33명을 획득했다. ,1,그 다음에는 33 점을 얻은 PP가 나옵니다.,2,33번을 얻은 PP를 따라가세요,2
41,"Podemos obtuvo 15 diputados, mientras Ciudadanos e IU obtuvieron nueve y cinco respectivamente. ",El País,,"포데모스는 15명을 얻었고 시우다다노스와 IU는 각각 9명, 5명이었다. ",1,Ciudadanos와 IU가 각각 9 점과 5 점을 얻은 동안 우리는 15 명의 대리인을 얻을 수 있습니다.,2,"우리는 15명의 의원을 확보할 수 있고, 시민과 IU는 각각 9명과 5명을 확보할 수 있다.",2
42,La campaña electoral finalizará el viernes 30 de noviembre. ,El País,,선거 운동은 11월 30일 금요일에 종료될 것이다. ,1,선거 운동은 11 월 30 일 금요일에 끝납니다.,1,선거 운동은 11월 30일 금요일에 끝날 것이다.,1
43,"La sesión constitutiva del Parlamento, tras los comicios, tendrá lugar el 27 de diciembre.",El País,,선거가 끝난 후 12월 27일에 의회가 구성될 것이다.,2,선거 이후 의회의 구성 회의는 12 월 27 일에 열릴 예정이다.,1,선거 후 의회의 구성 회의는 12월 27 일에 열릴 것입니다.,1
44,[HEADLINE] Londres elige entre vasallaje o caos,El País,,영국이 예속과 혼돈의 갈림길에 서다.,2,런던은 계략 또는 혼돈 중 하나를 선택합니다.,1,런던은 가신이나 혼돈 가운데 선택한다,2
45,"[SUB-HEADLINE]  Ante la incapacidad de May de gestionar el Brexit, el intento de organizar otro referéndum es solo la vía de eludir la elección entre lo malo y lo peor",El País,,메이 총리가 브렉시트 추진에 실패한 상황에서 제 2 국민투표를 위한 움직임은 나쁜 선택과 최악의 선택 사이에서 선택을 회피하려는 수단에 지나지 않는다.,1,5 월에 Brexit을 관리 할 수 없다는 점을 감안할 때 다른 국민 투표를 조직하려는 시도는 악과 최악의 선택을 피하는 유일한 방법 일뿐입니다,2,"5 월의 브렉시트 관리 실패에 직면하여, 또 다른 국민 투표를 조직하려는 시도는 나쁜 것과 최악의 것 사이의 선택을 피하는 길 일뿐입니다.",2
46,"Dos años después de que los ingleses decidieran recuperar su soberanía —¿la habían perdido?—, disponen de solo cuatro meses y medio para elegir entre el vasallaje o el caos. ",El País,,영국이 주권을 회복하기로 결정한지 2년이 지나고 (잃은 적이 있었는가?) 4.5개월 안에 예속과 혼돈 중 한 쪽을 선택해야 한다. ,1,영국군이 주권을 되찾기로 결정한 지 2 년 후 - 그들은 그것을 잃었을 까? - 그들은 단지 4 개월 반 밖에 걸리지 않았기 때문에 계략이나 혼란 중에서 선택했다. ,2,"영국인들이 주권을 회복하기로 결정한 지 2년 후, 그들은 4 개월 반 만에 가신이나 혼란을 선택할 수 있었습니다.",1
47,"Es la alternativa a la que les ha llevado Theresa May, que acaba de sumar la octava dimisión en su Gobierno por la errática negociación sobre el Brexit. ",El País,,이는 브렉시트에 대해 무분별한 협상으로 8번째 사임 위기에 놓인 테레사 메이 총리가 제시한 대안이다. ,1,테레사 수녀가 취한 대안은 브리태츠 정부의 불협화음에 대한 8 번째 사임을 방금 추가 한 것입니다. ,3,그것은 테레사 메이가 브렉시트에 대한 불규칙한 협상으로 정부에서 8 번째 사임을한 대안입니다.,2
48,"La situación, sin embargo, puede empeorar porque eso es exactamente lo que ha ocurrido desde que los británicos votaron por salir de la UE. ",El País,,그러나 상황이 더 악화될 수도 있다. 영국인들이 EU 탈퇴에 투표한 뒤 바로 그렇게 됐기 때문이다. ,2,그러나 영국이 유럽 연합 (EU)을 떠난 지 투표 한 이후 발생한 상황이기 때문에 상황이 악화 될 수도있다. ,1,그러나 영국이 EU를 떠나기로 결정한 이래로 정확히 그렇게 되었기 때문에 상황은 더욱 악화 될 수 있습니다.,2
49,"El listado de malas noticias, en efecto, es interminable: ",El País,,사실 나쁜 징조는 수도 없이 많다. ,1,사실 나쁜 소식 목록은 끝이 없습니다.,2,나쁜 소식의 목록은 실제로 끝이 없습니다.,2
