Segment ID,Source Segment,Segment Origin,Comments,Google Translate,Google Translate rating,Kakao i,Kakao i rating,Human,Human rating
15,"Duramos ahora ya hasta África, hasta Monrovia, la capital de Liberia donde vamos a hablar con Carolina López, coordinadora del centro de tratamiento de Médicos sin Fronteras en la capital liberiana, Carolina López, buenas noches.(0419)",Cinco Continentes_Ebola,,"우리는 몬로 비아, 우리는 라이베리아의 수도 캐롤라이나 로페즈, 좋은 밤에 국경없는 캐롤라이나 로페즈, 치료 센터 의사의 코디네이터에게 이야기합니다 라이베리아의 수도로 아프리카에 지금 보낸다.",3,"우리는 이제 아프리카까지, 라이베리아의 수도 몬로비아까지, 라이베리아 수도인 캐롤라이나 로페즈의 국경없는 의사 치료 센터의 코디네이터인 캐롤라이나 로페즈와 이야기할 것입니다. ",2,"저희는 아프리카에서 라이베리아의 수도 몬로비아에 가서 현지에 나가 있는 국경없는의사회 치료센터의 담당자이신 까롤리나 로빼스 씨와 대화를 나누어 보겠습니다. 안녕하세요, 까롤리나 로빼스 씨.",1
16,"<Hola, buenas noches.>(0421)",Cinco Continentes_Ebola,,"안녕, 안녕하세요.",1,"안녕하세요, 안녕하세요,",1,안녕하세요.,1
17,"Carolina, ¿se ha apreciado ahí una reducción de la epidemia del ébola como asegura la Organización Mundial de la Salud?(0428)",Cinco Continentes_Ebola,,세계 보건기구 (WHO)가 밝혔 듯이 에롤로에서 에볼라 전염병이 감소 했는가?,2,"캐롤라이나, 세계 보건기구가 보장한 에볼라 전염병의 감소가 여기서 평가 되었습니까? ",3,"까롤리나 씨, 세계보건기구의 발표처럼 그곳에 에볼라가 감소했습니까?",1
18,"<Sí, efectivamente, estas últimas semanas nos hemos dado cuenta que ha reducido bastante números de personas admitidas en el centro.>(0437)",Cinco Continentes_Ebola,,그렇습니다. 사실 지난 주 우리는 센터에 입소 한 많은 사람들을 줄 였음을 깨달았습니다.,3,"“예, 지난 몇 주 동안 우리는 그것이 센터에 입학한 사람들의 수를 상당히 줄였다는 것을 깨달았습니다.",2,"네, 확실히 감소했습니다. 최근 몇 주간 센터에 오는 사람의 수가 꽤 줄었다는 것을 알게 되었습니다.",1
19,"En el centro de tratamiento, ¿qué coordinas ahí en la capital de Liberia, a cuántas personas estáis tratando en estos momentos?(0444)",Cinco Continentes_Ebola,,"치료 센터에서 라이베리아 수도에서 당신은 무엇을 조정합니까, 지금 얼마나 많은 사람들이 다루고 있습니까?",3,치료 센터에서는 라이베리아 수도에서 어떤 일을 조정하고 있습니까? 현재 얼마나 많은 사람들이 치료하고 있습니까? ,2,라이베리아의 수도인 몬로비아의 치료센터에서 까롤리나 씨는 무슨 일을 하십니까? 요즘은 환자를 몇 명이나 받습니까?,1
20,"<Ahora mismo, ahí, alrededor de cincuenta y tres pacientes positivos.>(0448)",Cinco Continentes_Ebola,,지금 바로 거기에 약 53 명의 양성 환자가 있습니다.,1,"● 지금 당장, 53명의 긍정적인 환자가 있다.",3,현재 그곳에는 53명 정도가 양성반응을 보이고 있습니다.,1
21,¿Qué número de personas ingresan cada día y causan baja o pueden recuperarse y curarse de la enfermedad?(0457),Cinco Continentes_Ebola,,어떤 수의 사람들이 매일 병적으로 병을 앓고 있거나 병을 치료하고 치료할 수 있습니까?,3,매일 몇 명이나 들어와서 낮은 병을 일으키거나 회복하고 치료할 수 있을까? ,2,매일 몇 명 정도 입원하고 퇴원합니까? 혹은 몇 명이 회복되고 완치됩니까?,1
22,"<Bueno, pues, la verdad es que en estos momentos tenemos números bastante positivos, o sea, el descenso de las personas que ingresan quedan positivo, además bastantes pacientes que se curan y bueno, pues vemos que esto va evolucionando.(0515) ",Cinco Continentes_Ebola,,"글쎄요, 진실은이시기에 우리가 긍정적 인 숫자를 갖게되는 것입니다. 즉 진입하는 사람의 수가 줄어들뿐만 아니라 치료가 잘되고 많은 환자들이 진화한다는 것을 알기 때문입니다.",2,"“음, 사실 우리는 지금 상당히 긍정적인 숫자를 가지고 있습니다. 즉, 긍정적인 숫자를 입력하는 사람들의 감소와 치료하는 환자가 상당히 많습니다. ",3,"음, 사실 현재 꽤 많은 환자가 있습니다. 즉, 양성 반응으로 입원한 환자 수가 감소했고 꽤 많은 환자들이 완치를 했습니다. 이 수가 점점 증가하는 것 같습니다.",1
23,"Lo que pasa es que nosotros creemos que también hay que tener un poquito de cuidado, no es el momento de relajarse porque está claro que la epidemia ya ha dado un pico y luego ha vuelto a bajar,",Cinco Continentes_Ebola,,우리는 약간의주의를 기울여야한다고 믿습니다. 이미 전염병이 절정에 이르렀다가 다시 번 졌기 때문에 진정해야 할 때가 아닙니다.,1,문제는 우리가 약간의 보살핌을 받아야 한다고 믿는다는 것입니다. 전염병이 이미 최고조에 달했고 다시 내려 갔기 때문에 긴장을 풀 때가 아닙니다.,3,그렇지만 우리는 아직 조금 더 치료가 필요하다고 생각합니다. 아직 경계를 늦출 때는 아닙니다.,2
24,"y bueno pensamos que volverá a subir, por supuesto no como al principio porque cuando la población no conoce lo que es la epidemia y tal.(0534)",Cinco Continentes_Ebola,,물론 우리는 인구 증가가 유행이 무엇인지 모르기 때문에 처음에는 그렇지 않았기 때문에 다시 상승 할 것이라고 생각합니다.,3,그리고 우리는 그것이 다시 상승할 것이라고 생각합니다. 물론 처음에는 그렇지 않습니다. 왜냐하면 사람들이 전염병이 무엇인지 알지 못하기 때문입니다. ,1,에볼라가 이미 정점을 찍었고 쇠퇴기로 진입한 것은 명확하기 때문입니다. 그러나 다시 증가할 것이라고 생각합니다. 물론 처음만큼은 아니지만요. 왜냐하면 사람들이 이 질병에 대해 모르고 그런 것이 아니기 때문입니다.,2
25,"Realmente no pueden tomar las medidas de precauciones necesarias, hoy en día la población ya está al tanto de lo que es la enfermedad y de cómo se contagia, con lo cual pueden tomar esas medidas, pero aún así creemos que esto va a volver a subir.(0550)",Cinco Continentes_Ebola,,"그들은 실제로 필요한 예방 조치를 취할 수 없습니다. 요즘 사람들은 질병이 무엇인지, 질병이 어떻게 퍼져 나가고 있는지를 이미 알고 있습니다. 그런 조치를 취할 수는 있지만, .",3,"그들은 실제로 필요한 예방 조치를 취할 수 없으며, 오늘날 사람들은 질병이 무엇인지, 그리고 그것이 어떻게 전염되는지 알고 있습니다. 그래서 그들은 그러한 조치를 취할 수 있지만 우리는 여전히 이것이 다시 상승할 것이라고 믿습니다. ",1,"실제로 필요한 예방 조치를 받지 못합니다. 오늘날 사람들이 에볼라가 무엇인지, 어떻게 전염되는지 잘 알고 있기 때문입니다. 따라서 이러한 조치를 취할 수 있지만 여전히 에볼라가 다시 늘어날 것이라고 생각합니다.",2
26,"¿Vamos, estás diciendo que crees que va a volver a subir el número de contagiados?,",Cinco Continentes_Ebola,,"자, 감염된 사람들의 수가 다시 증가 할 것이라고 생각하는 것입니까?",1,지금 그 사람이 다시 연락을 받을 거라고 생각하는 거야?,3,"그렇다면, 감염자 수가 증가할 것이라고 생각하신다는 말씀이신가요?",1
27,"¿por qué, por qué tenéis esa sensación de que va a volver a subir el número de personas contagiadas por el ébola?(0600)",Cinco Continentes_Ebola,,"왜, 왜 에볼라에 감염된 사람들의 수가 다시 증가 할 것이라는 느낌이 들었습니까?",1,"왜, 왜 에볼라에 감염된 사람들의 수가 다시 증가할 것이라는 느낌을 가지고 있는가? ",3,왜 에볼라 감염자 수가 증가할 것이라는 생각을 하십니까?,1
28,"<Bueno, pues porque no todas las actividades que se serían hacer están funcionando correctamente.(0606) ",Cinco Continentes_Ebola,,왜냐하면 모든 활동이 제대로 작동하지 않기 때문입니다.,2,"“글쎄, 모든 활동이 제대로 작동하는 것은 아니기 때문에. ",2,"음, 왜냐하면 취해야 할 조치들이 제대로 이루어지지 않고 있기 때문입니다.",1
29,"El seguimiento de contactos, por ejemplo hay muchísimo trabajo por hacer, se está haciendo, pero no al cien por cien, al igual que, por ejemplo, el servicio de ambulancias, tenemos, seguimos teniendo pacientes que vienen a pie, por sus propios medios porque este servicio no funciona.(0623)",Cinco Continentes_Ebola,,"많은 작업을 수행 할 연락처를 예를 들어 거기 추적, 그것은 진행되고 있지만 백퍼센트 같은, 예를 들어, 앰뷸런스 서비스, 우리는, 우리는 여전히 자신에 의해, 도보로 오는 환자가 이 서비스가 작동하지 않기 때문입니다.",3,"예를 들어, 접촉을 추적하는 것은 많은 작업이 이루어지고 있지만, 100 %가 아니라 구급차 서비스와 마찬가지로 우리는 이 서비스가 작동하지 않기 때문에 도보로 환자를 계속 가지고 있습니다. ",2,"예를 들어, 접촉을 감시하는 것에도 할 일이 아주 많습니다. 하고 있긴 하지만 100%는 아닙니다. 예를 들어 구급차도 마찬가지죠. 여전히 많은 환자들이 구급차 서비스가 제대로 작동되지 않아 걷거나 개인 이동수단으로 병원에 옵니다.",1
30,"Y bueno, pues también está el asunto de la incineración, hoy en día seguían incinerando a las personas que mueren por ébola y esto culturalmente, o sea, va totalmente en contra de la cultura de la población, entonces también se esconden más.>(0640)",Cinco Continentes_Ebola,,"음, 소각의 문제입니다, 오늘은 아직 에볼라에서 죽어가는 사람들을 소각이 문화적, 즉, 인구의 문화에 대해 완전히 가고, 다음 또한 더 이상 숨길 수 있습니다.",3,그리고 소각의 문제도 있기 때문에 오늘날 그들은 에볼라로 죽어가는 사람들을 계속 소각하고 있습니다. 문화적으로 이것은 인구의 문화에 완전히 반대합니다.,2,"그렇다면 소각 문제도 있겠죠. 오늘날 사람들이 에볼라로 사망한 사람들을 소각하고 있습니다. 즉, 국민들의 문화와 완전히 정반대되는 방법으로 말입니다. 혹은 숨기는 사람들도 많습니다.",1
31,"¿Habéis notado, te preguntaba, habéis notado refuerzos en medios y recursos en los últimos tiempos en la lucha ahí contra el ébola en Liberia?(0647)",Cinco Continentes_Ebola,,당신은 내가 라이베리아의 에볼라와 싸우는 가운데 최근에 수단과 자원의 증원을 알았습니까?,3,라이베리아에서 에볼라와 싸우는 동안 언론과 자원에 대한 증원군을 보았습니까? ,1,아까도 여쭤봤지만 최근 라이베리아에 에볼라와 싸우기 위해 물자 등 원조를 받았습니까?,2
32,"<Pues, sí que hay más organizaciones que han llegado y que están dispuestas a abrir otros centros y creemos que eso es muy positivo,",Cinco Continentes_Ebola,,"음, 그렇습니다. 도착한 기관이 많으며 다른 센터를 기꺼이 개설 할 조직이 있으며, 이는 매우 긍정적이라고 생각합니다.",2,"<UNK>Pues, 더 많은 조직이 도착했으며 다른 센터를 열 준비가 되어 있으며 매우 긍정적이라고 생각합니다.",3,물론 현지에 와서 여러 센터를 열려는 단체들은 많이 봤고 이를 매우 긍정적으로 생각합니다.,1
33,"sin embargo creemos también que tienen que acelerar un poquito más el proceso, que de todas formas hay que relajarse y que además habría que reforzar otras actividades,",Cinco Continentes_Ebola,,그러나 우리는 또한 프로세스 속도를 조금 더 높여야한다고 믿습니다. 어떤 경우에는 긴장을 풀어야하고 다른 활동을 강화해야한다는 것입니다.,1,그러나 우리는 또한 그들이 어떤 경우에도 완화되어야하는 과정을 조금 더 가속화해야하며 다른 활동도 강화되어야 한다고 믿습니다.,3,그러나 이 절차를 좀더 가속화해야 한다고 생각합니다. 어쨌든 느슨해지면 안되고 다른 활동들도 강화했어야 합니다.,2
34,"o sea, no solo será abrir centros de enviar médicos, también hay que reforzar como te decía seguimiento de contactos, hay que reforzar el servicio de ambulancias, hay que hacer una sensibilización más fuerte con muchos más recursos.(0720)",Cinco Continentes_Ebola,,"즉, 열 것뿐만 아니라 센터는 의사도 내가 접촉 추적, 우리는 더 많은 자원을 가진 강한 인식을해야합니다 앰뷸런스 서비스를 강화해야 말했듯이 강화 될 필요가 보냅니다.",3,"의사를 보낼 수 있는 센터를 열뿐만 아니라, 연락을 추적하고 구급차 서비스를 강화해야하며, 더 많은 자원을 사용하여 더 큰 인식을 창출해야 합니다. ",2,"즉, 센터를 열고 의사를 보내는 것뿐만 아니라 아까도 말씀 드렸듯이 접촉을 감시하고 구급차 서비스를 늘리고 물자를 늘려 더 민감하게 대처해야 합니다.",1
35,"Y bueno, en este sentido también te diría que hoy en día el problema que encontramos en el centro es que los pacientes que vienen, que no tienen ningún síntoma de ébola, pero que no son aceptados en los hospitales por miedo.(0731)",Cinco Continentes_Ebola,,그리고이 점에서 저는 또한 오늘날 우리가 중심에서 발견하는 문제는 에볼라의 증상이 없지만 병원에서 공포로 받아 들여지지 않는 환자라는 것입니다.,2,그리고 이런 의미에서 저는 또한 오늘날 우리가 센터에서 발견한 문제는 에볼라 증상이 없지만 두려움 때문에 병원에 입원하지 않는 환자들이라는 것입니다. ,3,같은 맥락에서 드리고 싶은 말씀은 오늘날 센터에서 주로 발생하는 문제는 센터로 오는 환자들이 에볼라 증상이 전혀 없는데도 병원 측에서는 괜히 무서워서 수용하지 않는다는 것입니다.,1
36,"Y bueno, pues habría que reforzar también esto es un poco, ¿no?, que vengan organizaciones, que ayuden al ministerio a poder gestionar estos centros hospitalarios que no tienen nada que ver con el ébola para ser una buena clasificación de los pacientes, un buen triaje como nosotros llamamos",Cinco Continentes_Ebola,,그리고 에보라와 아무 관련이없는 병원을 환자의 훌륭한 분류로 관리 할 수 ,3,"그리고 이것은 또한 조금 강화되어야 합니다. 조직이 와서, 우리가 부르는 것처럼 에볼라와는 아무런 관련이 없는 병원을 관리할 수 있도록 돕는 것입니다.",2,그러니까 여러 단체와 정부가 에볼라와 전혀 관계 없는 센터들을 운영해서 환자들을 적절히 선별할 수 있고 소위 말해 좋은 ‘지지대’ 역할을 할 수 있도록 강화해야 합니다.,1
37,"y que bueno, podemos enviar a pacientes que no están enfermos de ébola, que no son sospechosos de ébola a esos centros.(0755)",Cinco Continentes_Ebola,,그리고 우리는 에볼라로 의심이없는 에볼라와 아프지 않은 환자들을 그 센터로 보낼 수 있습니다.,3,"에볼라에 감염되지 않은 환자를 보낼 수 있고, 에볼라에 의심을 받지 않는 환자를 그 센터로 보낼 수 있습니다. ",1,에볼라에 걸리지 않고 의심되지도 않는 환자들을 이 센터들로 보낼 수 있습니다.,1
38,"Tú estás ahí trabajando sobre el terreno por cierto, ¿cuánto tiempo llevas ahí en Monrovia?(0800)",Cinco Continentes_Ebola,,너는 그곳에서 현장에서 일하고있다. 얼마나 오래 몬로 비아에 있었 니?,2,그런데도 당신은 거기서 일해요. 몬로비아에 얼마나 오래 있었나요? ,3,현장에서 일하고 계시죠. 몬로비아에는 얼마나 계셨습니까?,1
39,<Llevo cuatro semanas aquí.>(0802),Cinco Continentes_Ebola,,나는 4 주간 여기왔다.,3,4주 동안 여기 있었네,1,4주 되었습니다.,2
40,"Cuatro semanas, ¿y cuáles son las principales carencias que aprecias que existen ahora para luchar contra la enfermedad allí donde estás tú?(0810)",Cinco Continentes_Ebola,,"4 주 동안, 그리고 현재 질병에 맞서 싸우기 위해 존재하는 주된 결함은 무엇입니까?",3,"4주, 지금 당신이 있는 곳에서 질병과 싸우기 위해 존재하는 가장 큰 결핍은 무엇인가? ",1,4주군요. 까롤리나 씨가 계신 곳에서 에볼라와 싸우는데 가장 부족했다고 느낀 것이 무엇입니까?,2
41,"<Bueno, pues sobre todo lo que te decía antes, o sea el reforzar el sistema de ambulancias, el reforzar el seguimiento de contactos, y eso, sobre todo el apoyar estos hospitales públicos para que los pacientes que no tienen síntomas de ébola puedan acceder porque esto sí podemos ya más daños con lateral de lo que es la enfermedad,",Cinco Continentes_Ebola,,"글쎄, 내가 전에 말했 주로 무엇을, 그 것을 강화 구급차 시스템의 강화 모니터링 접촉이고, 특히 그 액세스 할 수 있습니다 에볼라의 증상이없는 환자에 대한이 공공 병원을 지원 우리는 이미 질병보다 측면에 더 많은 손상을 입을 수 있습니다.",3,"“글쎄, 무엇보다도 내가 전에 당신에게 말한 것, 즉 구급차 시스템을 강화하고, 접촉을 강화하며, 특히 에볼라 증상이 없는 환자들이 더 많은 피해를 입을 수 있도록 이러한 공립 병원을 지원하는 것, 즉 질병보다 더 많은 피해를 입을 수 있기 때문에,",2,"이전에도 말씀 드렸듯이 구급차 시설을 늘리는 것, 접촉 감시를 강화하는 것, 그리고 특히 에볼라에 걸리지 않은 환자들이 접근할 수 없도록 공공 병원을 돕는 것이 가장 필요했습니다. 왜냐하면 이것도 에볼라에 따른 피해라고 할 수 있기 때문입니다.",1
